,zipcode,zipcode_freq
527,582,24
528,583,13
529,584,12
530,585,40
531,586,16
532,587,36
533,588,24
534,590,40
535,591,116
536,592,40
537,593,26
538,594,87
539,595,15
540,596,68
541,597,127
542,598,123
543,599,97
544,600,1352
545,601,1338
546,602,61
547,603,83
548,604,1350
549,605,946
550,606,2658
551,607,113
552,608,107
553,609,96
554,610,211
555,611,135
556,612,136
557,613,96
558,614,67
559,615,101
560,616,114
561,617,148
562,618,167
563,619,50
564,620,185
565,622,331
566,623,49
567,624,46
568,625,98
569,626,109
570,627,115
571,628,90
572,629,117
573,630,510
574,631,587
575,633,402
576,634,34
577,635,28
578,636,60
579,637,73
580,638,53
581,639,31
582,640,567
583,641,476
584,644,62
585,645,57
586,646,34
587,647,59
588,648,114
589,649,1
590,650,77
591,651,45
592,652,151
593,653,61
594,654,47
595,655,53
596,656,100
597,657,161
598,658,158
599,660,440
600,661,112
601,662,426
602,664,67
603,665,94
604,666,121
605,667,79
606,668,25
607,669,12
608,670,125
609,671,69
610,672,285
611,673,35
612,674,80
613,675,64
614,676,33
615,677,20
616,678,64
617,679,23
618,680,73
619,681,244
620,683,21
621,684,15
622,685,106
623,686,19
624,687,31
625,688,45
626,689,25
627,690,9
628,691,27
629,693,19
630,700,451
631,701,363
632,702,1
633,703,192
634,704,316
635,705,396
636,706,151
637,707,290
638,708,244
639,709,1
640,710,109
641,711,180
642,712,173
643,713,78
644,714,90
645,716,84
646,717,72
647,718,50
648,719,87
649,720,260
650,721,194
651,722,160
652,723,106
653,724,138
654,725,53
655,726,72
656,727,361
657,728,60
658,729,134
659,730,456
660,731,404
661,734,52
662,735,116
663,736,24
664,737,46
665,738,17
666,739,13
667,740,473
668,741,337
669,743,71
670,744,110
671,745,42
672,746,40
673,747,31
674,748,92
675,749,51
676,750,2728
677,751,658
678,752,1039
679,753,7
680,754,242
681,755,64
682,756,197
683,757,216
684,758,54
685,759,136
686,760,1226
687,761,903
688,762,554
689,763,116
690,764,67
691,765,427
692,766,118
693,767,87
694,768,45
695,769,77
696,770,2180
697,771,1
698,772,19
699,773,1202
700,774,1205
701,775,935
702,776,119
703,777,70
704,778,158
705,779,68
706,780,290
707,781,314
708,782,1117
709,783,113
710,784,185
711,785,654
712,786,989
713,787,1020
714,788,88
715,789,42
716,790,122
717,791,176
718,792,20
719,793,82
720,794,201
721,795,75
722,796,105
723,797,327
724,798,27
725,799,542
726,800,986
727,801,798
728,802,1322
729,803,115
730,804,230
731,805,505
732,806,257
733,807,54
734,808,100
735,809,444
736,810,149
737,811,52
738,812,63
739,813,75
740,814,66
741,815,139
742,816,182
743,817,1
744,820,131
745,821,1
746,822,22
747,823,15
748,824,53
749,825,37
750,826,100
751,827,50
752,828,29
753,829,66
754,830,19
755,831,22
756,832,2
757,834,1
758,835,1
759,836,2
760,837,1
761,838,1
762,840,821
763,841,431
